"NAME","MANUF","TYPE","CALORIES","PROTEIN","FAT","SODIUM","FIBER","CARBO","SUGARS","POTASS","VITAMINS","SHELF","WEIGHT","CUPS","RATING"
"100%_Bran                             ","N  ","C   ",0.18181818181818182,4,1,0.40625,10.0,5.0,6,0.8489425981873111,25,3,1.0,0.33,68.402973
"100%_Natural_Bran                     ","Q  ","C   ",0.6363636363636362,3,5,0.046875,2.0,8.0,8,0.41087613293051356,0,3,1.0,1.0,33.983679
"All-Bran                              ","K  ","C   ",0.18181818181818182,4,1,0.8125,9.0,7.0,5,0.9697885196374622,25,3,1.0,0.33,59.425505
"All-Bran_with_Extra_Fiber             ","K  ","C   ",0.0,4,0,0.4375,14.0,8.0,0,1.0,25,3,1.0,0.5,93.704912
"Almond_Delight                        ","R  ","C   ",0.5454545454545454,2,2,0.625,1.0,14.0,8,0.0,25,3,1.0,0.75,34.384843
"Basic_4                               ","G  ","C   ",0.7272727272727271,3,2,0.65625,2.0,18.0,8,0.3051359516616314,25,3,1.33,0.75,37.038562
"Bran_Flakes                           ","P  ","C   ",0.3636363636363636,3,0,0.65625,5.0,13.0,5,0.5770392749244713,25,3,1.0,0.67,53.313813
"Clusters                              ","G  ","C   ",0.5454545454545454,3,2,0.4375,2.0,13.0,7,0.3202416918429003,25,3,1.0,0.5,40.400208
"Cracklin'_Oat_Bran                    ","K  ","C   ",0.5454545454545454,3,3,0.4375,4.0,10.0,7,0.48640483383685795,25,3,1.0,0.5,40.448772
"Crispix                               ","K  ","C   ",0.5454545454545454,2,0,0.6875,1.0,21.0,3,0.09365558912386707,25,3,1.0,1.0,46.895644
"Crispy_Wheat_&_Raisins                ","G  ","C   ",0.45454545454545453,2,1,0.4375,2.0,11.0,10,0.3655589123867069,25,3,1.0,0.75,36.176196
"Double_Chex                           ","R  ","C   ",0.45454545454545453,2,0,0.59375,1.0,18.0,5,0.24471299093655588,25,3,1.0,0.75,44.330856
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats","P  ","C   ",0.6363636363636362,3,2,0.5,5.0,12.0,10,0.607250755287009,25,3,1.25,0.67,40.917047
"Fruitful_Bran                         ","K  ","C   ",0.6363636363636362,3,0,0.75,5.0,14.0,12,0.5770392749244713,25,3,1.33,0.67,41.015492
"Grape_Nuts_Flakes                     ","P  ","C   ",0.45454545454545453,3,1,0.4375,3.0,15.0,5,0.2598187311178248,25,3,1.0,0.88,52.076897
"Grape-Nuts                            ","P  ","C   ",0.5454545454545454,3,0,0.53125,3.0,17.0,3,0.27492447129909364,25,3,1.0,0.25,53.371007
"Great_Grains_Pecan                    ","P  ","C   ",0.6363636363636362,3,3,0.234375,3.0,13.0,4,0.3051359516616314,25,3,1.0,0.33,45.811716
"Just_Right_Crunchy__Nuggets           ","K  ","C   ",0.5454545454545454,2,1,0.53125,1.0,17.0,6,0.18429003021148035,100,3,1.0,1.0,36.523683
"Just_Right_Fruit_&_Nut                ","K  ","C   ",0.8181818181818181,3,1,0.53125,2.0,20.0,9,0.2900302114803625,100,3,1.3,0.75,36.471512
"Muesli_Raisins,_Dates,_&_Almonds      ","R  ","C   ",0.909090909090909,4,3,0.296875,3.0,16.0,11,0.5166163141993958,25,3,1.0,1.0,37.136863
"Muesli_Raisins,_Peaches,_&_Pecans     ","R  ","C   ",0.909090909090909,4,3,0.46875,3.0,16.0,11,0.5166163141993958,25,3,1.0,1.0,34.139765
"Mueslix_Crispy_Blend                  ","K  ","C   ",1.0,3,2,0.46875,3.0,17.0,13,0.48640483383685795,25,3,1.5,0.67,30.313351
"Nutri-Grain_Almond-Raisin             ","K  ","C   ",0.8181818181818181,3,2,0.6875,3.0,21.0,7,0.3957703927492447,25,3,1.33,0.67,40.69232
"Nutri-grain_Wheat                     ","K  ","C   ",0.3636363636363636,3,0,0.53125,3.0,18.0,2,0.27492447129909364,25,3,1.0,1.0,59.642837
"Oatmeal_Raisin_Crisp                  ","G  ","C   ",0.7272727272727271,3,2,0.53125,1.5,13.5,10,0.3655589123867069,25,3,1.25,0.5,30.450843
"Post_Nat._Raisin_Bran                 ","P  ","C   ",0.6363636363636362,3,1,0.625,6.0,11.0,14,0.7885196374622356,25,3,1.33,0.67,37.840594
"Product_19                            ","K  ","C   ",0.45454545454545453,3,0,1.0,1.0,20.0,3,0.13897280966767372,100,3,1.0,1.0,41.50354
"Puffed_Rice                           ","Q  ","C   ",0.0,1,0,0.0,0.0,13.0,0,0.04833836858006042,0,3,0.5,1.0,60.756112
"Puffed_Wheat                          ","Q  ","C   ",0.0,2,0,0.0,1.0,10.0,0,0.1540785498489426,0,3,0.5,1.0,63.005645
"Quaker_Oat_Squares                    ","Q  ","C   ",0.45454545454545453,4,1,0.421875,2.0,14.0,6,0.33534743202416917,25,3,1.0,0.5,49.511874
"Raisin_Nut_Bran                       ","G  ","C   ",0.45454545454545453,3,2,0.4375,2.5,10.5,8,0.4259818731117824,25,3,1.0,0.5,39.7034
"Raisin_Squares                        ","K  ","C   ",0.3636363636363636,2,0,0.0,2.0,15.0,6,0.33534743202416917,25,3,1.0,0.5,55.333142
"Total_Corn_Flakes                     ","G  ","C   ",0.5454545454545454,2,1,0.625,0.0,21.0,3,0.10876132930513595,100,3,1.0,1.0,38.839746
"Total_Raisin_Bran                     ","G  ","C   ",0.8181818181818181,3,1,0.59375,4.0,15.0,14,0.6978851963746223,100,3,1.5,1.0,28.592785
"Total_Whole_Grain                     ","G  ","C   ",0.45454545454545453,3,1,0.625,3.0,16.0,3,0.33534743202416917,100,3,1.0,1.0,46.658844
"Triples                               ","G  ","C   ",0.5454545454545454,2,1,0.78125,0.0,21.0,3,0.18429003021148035,25,3,1.0,0.75,39.106174
"Apple_Cinnamon_Cheerios               ","G  ","C   ",0.5454545454545454,2,2,0.5625,1.5,10.5,10,0.21450151057401812,25,1,1.0,0.75,29.509541
"Bran_Chex                             ","R  ","C   ",0.3636363636363636,2,1,0.625,4.0,15.0,6,0.3806646525679758,25,1,1.0,0.67,49.120253
"Cheerios                              ","G  ","C   ",0.5454545454545454,6,2,0.90625,2.0,17.0,1,0.3202416918429003,25,1,1.0,1.25,50.764999
"Corn_Chex                             ","R  ","C   ",0.5454545454545454,2,0,0.875,0.0,22.0,3,0.07854984894259819,25,1,1.0,1.0,41.445019
"Corn_Flakes                           ","K  ","C   ",0.45454545454545453,2,0,0.90625,1.0,21.0,2,0.10876132930513595,25,1,1.0,1.0,45.863324
"Frosted_Flakes                        ","K  ","C   ",0.5454545454545454,1,0,0.625,1.0,14.0,11,0.07854984894259819,25,1,1.0,0.75,31.435973
"Golden_Crisp                          ","P  ","C   ",0.45454545454545453,2,0,0.140625,0.0,11.0,15,0.12386706948640483,25,1,1.0,0.88,35.252444
"Honey_Nut_Cheerios                    ","G  ","C   ",0.5454545454545454,3,1,0.78125,1.5,11.5,10,0.27492447129909364,25,1,1.0,0.75,31.072217
"Honey-comb                            ","P  ","C   ",0.5454545454545454,1,0,0.5625,0.0,14.0,11,0.10876132930513595,25,1,1.0,1.33,28.742414
"Multi-Grain_Cheerios                  ","G  ","C   ",0.45454545454545453,2,1,0.6875,2.0,15.0,6,0.27492447129909364,25,1,1.0,1.0,40.105965
"Quaker_Oatmeal                        ","Q  ","H   ",0.45454545454545453,5,2,0.0,2.7,-1.0,-1,0.33534743202416917,0,1,1.0,0.67,50.828392
"Rice_Chex                             ","R  ","C   ",0.5454545454545454,1,0,0.75,0.0,23.0,2,0.09365558912386707,25,1,1.0,1.13,41.998933
"Rice_Krispies                         ","K  ","C   ",0.5454545454545454,2,0,0.90625,0.0,22.0,3,0.10876132930513595,25,1,1.0,1.0,40.560159
"Shredded_Wheat                        ","N  ","C   ",0.27272727272727276,2,0,0.0,3.0,16.0,0,0.2900302114803625,0,1,0.83,1.0,68.235885
"Shredded_Wheat_'n'Bran                ","N  ","C   ",0.3636363636363636,3,0,0.0,4.0,19.0,0,0.4259818731117824,0,1,1.0,0.67,74.472949
"Shredded_Wheat_spoon_size             ","N  ","C   ",0.3636363636363636,3,0,0.0,3.0,20.0,0,0.3655589123867069,0,1,1.0,0.67,72.801787
"Special_K                             ","K  ","C   ",0.5454545454545454,6,0,0.71875,1.0,16.0,3,0.1691842900302115,25,1,1.0,1.0,53.131324
"Wheat_Chex                            ","R  ","C   ",0.45454545454545453,3,1,0.71875,3.0,17.0,3,0.35045317220543803,25,1,1.0,0.67,49.787445
"Wheaties                              ","G  ","C   ",0.45454545454545453,3,1,0.625,3.0,17.0,3,0.33534743202416917,25,1,1.0,1.0,51.592193
"Wheaties_Honey_Gold                   ","G  ","C   ",0.5454545454545454,2,1,0.625,1.0,16.0,8,0.18429003021148035,25,1,1.0,0.75,36.187559
"Apple_Jacks                           ","K  ","C   ",0.5454545454545454,2,0,0.390625,1.0,11.0,14,0.09365558912386707,25,2,1.0,1.0,33.174094
"Cap'n'Crunch                          ","Q  ","C   ",0.6363636363636362,1,2,0.6875,0.0,12.0,12,0.10876132930513595,25,2,1.0,0.75,18.042851
"Cinnamon_Toast_Crunch                 ","G  ","C   ",0.6363636363636362,1,3,0.65625,0.0,13.0,9,0.13897280966767372,25,2,1.0,0.75,19.823573
"Cocoa_Puffs                           ","G  ","C   ",0.5454545454545454,1,1,0.5625,0.0,12.0,13,0.1691842900302115,25,2,1.0,1.0,22.736446
"Corn_Pops                             ","K  ","C   ",0.5454545454545454,1,0,0.28125,1.0,13.0,12,0.0634441087613293,25,2,1.0,1.0,35.782791
"Count_Chocula                         ","G  ","C   ",0.5454545454545454,1,1,0.5625,0.0,12.0,13,0.19939577039274925,25,2,1.0,1.0,22.396513
"Cream_of_Wheat_(Quick)                ","N  ","H   ",0.45454545454545453,3,0,0.25,1.0,21.0,0,0.0,0,2,1.0,1.0,64.533816
"Froot_Loops                           ","K  ","C   ",0.5454545454545454,2,1,0.390625,1.0,11.0,13,0.09365558912386707,25,2,1.0,1.0,32.207582
"Frosted_Mini-Wheats                   ","K  ","C   ",0.45454545454545453,3,0,0.0,3.0,14.0,7,0.3051359516616314,25,2,1.0,0.8,58.345141
"Fruity_Pebbles                        ","P  ","C   ",0.5454545454545454,1,1,0.421875,0.0,13.0,12,0.07854984894259819,25,2,1.0,0.75,28.025765
"Golden_Grahams                        ","G  ","C   ",0.5454545454545454,1,1,0.875,0.0,15.0,9,0.13897280966767372,25,2,1.0,0.75,23.804043
"Honey_Graham_Ohs                      ","Q  ","C   ",0.6363636363636362,1,2,0.6875,1.0,12.0,11,0.13897280966767372,25,2,1.0,1.0,21.871292
"Kix                                   ","G  ","C   ",0.5454545454545454,2,1,0.8125,0.0,21.0,3,0.12386706948640483,25,2,1.0,1.5,39.241114
"Life                                  ","Q  ","C   ",0.45454545454545453,4,2,0.46875,2.0,12.0,6,0.2900302114803625,25,2,1.0,0.67,45.328074
"Lucky_Charms                          ","G  ","C   ",0.5454545454545454,2,1,0.5625,0.0,12.0,12,0.1691842900302115,25,2,1.0,1.0,26.734515
"Maypo                                 ","A  ","H   ",0.45454545454545453,4,1,0.0,0.0,16.0,3,0.2900302114803625,25,2,1.0,1.0,54.850917
"Nut&Honey_Crunch                      ","K  ","C   ",0.6363636363636362,2,1,0.59375,0.0,15.0,9,0.12386706948640483,25,2,1.0,0.67,29.924285
"Raisin_Bran                           ","K  ","C   ",0.6363636363636362,3,1,0.65625,5.0,14.0,12,0.72809667673716,25,2,1.33,0.75,39.259197
"Smacks                                ","K  ","C   ",0.5454545454545454,2,1,0.21875,1.0,9.0,15,0.12386706948640483,25,2,1.0,0.75,31.230054
"Strawberry_Fruit_Wheats               ","N  ","C   ",0.3636363636363636,2,0,0.046875,3.0,15.0,5,0.27492447129909364,25,2,1.0,1.0,59.363993
"Trix                                  ","G  ","C   ",0.5454545454545454,1,1,0.4375,0.0,13.0,12,0.07854984894259819,25,2,1.0,1.0,27.753301
